Orthogroup	Cardamine_hirsuta	Aethionema_saxatile
OG0000487	CARHR127370	As006G137570, As008G196100
OG0000495	CARHR267230	As001G001610, As001G001580, As001G001640, As001G001650
OG0000496	CARHR260560, CARHR214560, CARHR216850, CARHR289460	As007G177440
OG0000496	CARHR216880, CARHR257980, CARHR214550	As001G013540, As007G178050
OG0000496	CARHR052930, CARHR216890, CARHR154020, CARHR104360, CARHR121700	As002G041610
OG0000497	CARHR107870, CARHR058240	As010G233090
OG0000497	CARHR056780	As002G040610
OG0000498	CARHR266530	As002G045150
OG0000499	CARHR225130	As003G056720
OG0000499	CARHR089360	As011G246530
OG0000499	CARHR089350	As012G269540
OG0000500	CARHR177570, CARHR177670	As004G087470
OG0000501	CARHR287270	As010G232220
OG0000504	CARHR210740, CARHR134240	As006G143860
OG0000504	CARHR083900	As002G037010, As002G034340
OG0000505	CARHR188350, CARHR188310, CARHR188370, CARHR188360, CARHR188300	As009G215510
OG0000506	CARHR179040, CARHR206880	As010G234690
OG0000510	CARHR288780, CARHR052490, CARHR289000, CARHR288820, CARHR052480, CARHR288790, CARHR288930	As001G020890, As001G020900
OG0000511	CARHR097980	As011G254140
OG0000511	CARHR049420	As001G032060
OG0000512	CARHR230700, CARHR230710, CARHR149360, CARHR230730	As003G061390
OG0000513	CARHR163540	As006G146210
OG0000513	CARHR154420, CARHR273420	As005G114770
OG0000515	CARHR045880	As012G267810
OG0000521	CARHR034110	As003G063570
