Orthogroup	Cardamine_hirsuta	Erysimum_linariifolium
OG0000276	CARHR188490, CARHR188470	El001G054260, El001G054290
OG0000277	CARHR290100, CARHR290090	El003G172490
OG0000277	CARHR290060	El003G172540, El003G172520
OG0000281	CARHR229330, CARHR290760	El001G040170
OG0000281	CARHR040090	El002G134210, El002G134220
OG0000281	CARHR025250	El004G205670, El004G205700
OG0000281	CARHR290770	El007G357260
OG0000281	CARHR147000	El001G040220
OG0000282	CARHR205620	El001G074240
OG0000282	CARHR205610	El001G074210
OG0000282	CARHR205590, CARHR205580, CARHR205600	El001G074200, El001G074190
OG0000283	CARHR180240	El007G358960
