Orthogroup	Arabidopsis_arenosa	Euclidium_syriacum
OG0000129	jg1820	ESY2_g34340_DN2_SP0_c0.t1, ESY7_g18677_DN3_SP0_c0.t1, ESY9_g43047_DN3_SP0_c0.t1, ESY9_g43049_DN3_SP0_c0.t1
OG0000129	jg1832	ESY7_g19441_DN3_SP0_c0.t1, ESY7_g19438_DN2_SP0_c0.t1
OG0000129	jg33436, jg33435, jg23141, jg23140, jg17685, jg17683, jg17687, jg21823	ESY6_g49428_DN3_SP0_c0.t1
OG0000129	jg1819	ESY2_g34341_DN3_SP0_c0.t1
OG0000130	jg25904, jg33171	ESY1_g9827_DN1_SP0_c0.t1
OG0000130	jg12101, jg32651, jg20179, jg27275, jg12111, jg17565, jg20993, jg25905, jg11327, jg9592, jg14104, jg33081, jg12152	ESY23_g219_DN2_SP0_c0.t1
OG0000132	jg7387, jg7388	ESY6_g48238_DN1_SP0_c0.t1
OG0000136	jg159	ESY7_g17164_DN1_SP0_c0.t1
OG0000138	jg16315	ESY3_g32116_DN2_SP0_c0.t1
OG0000138	jg5387	ESY3_g32264_DN3_SP0_c0.t1, ESY16_g62249_DN3_SP0_c0.t1, ESY1_g12463_DN3_SP0_c6.t1, ESY2_g34038_DN3_SP0_c0.t1, ESY1_g12461_DN3_SP0_c0.t1
